iden,Departmento,2013,2014,2015,2016,2017,2018
1,Amazonas,0.86,0.89,0.92,0.94,0.95,0.90
2,Ancash,3.46,3.57,3.33,3.44,3.56,3.60
3,Apurímac,1.19,1.19,1.18,1.15,1.08,1.02
4,Arequipa,5.65,5.56,5.47,5.34,5.29,5.27
5,Ayacucho,1.89,1.93,1.97,2.00,2.00,2.02
6,Cajamarca,3.61,3.70,3.76,3.80,3.94,3.77
7,Callao,1.48,2.63,3.21,3.32,3.23,3.34
8,Cusco,4.03,4.01,4.02,3.82,3.54,3.26
9,Huancavelica,0.85,0.89,0.92,0.89,0.92,0.81
10,Huánuco,2.04,2.03,2.12,2.08,2.05,1.90
11,Ica,2.99,2.94,2.93,2.99,3.09,3.22
12,Junín,3.91,3.89,3.94,4.03,4.06,3.92
13,La Libertad ,5.94,5.93,5.79,5.78,5.91,5.97
14,Lambayeque,3.81,3.77,3.74,3.75,3.61,3.54
15,Lima,40.45,39.04,38.41,38.24,38.17,39.56
16,Loreto,1.52,1.58,1.68,1.74,1.75,1.74
17,Madre de Dios,0.64,0.60,0.60,0.62,0.56,0.52
18,Moquegua,0.72,0.71,0.71,0.72,0.74,0.70
19,Pasco,0.72,0.76,0.78,0.77,0.74,0.69
20,Piura,4.88,5.02,4.97,4.96,4.95,4.84
21,Puno ,4.11,4.07,4.09,4.10,4.14,3.94
22,San Martín,1.98,2.07,2.15,2.16,2.24,2.11
23,Tacna,1.31,1.27,1.31,1.35,1.43,1.40
24,Tumbes ,0.73,0.74,0.70,0.72,0.71,0.67
25,Ucayali,1.24,1.22,1.29,1.31,1.33,1.30
