iden,Departamento,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
1,Amazonas,0.5,1.2,2.6,5.3,13,23.3,29.9,40.2,47.8,47.7
2,Ancash,4.7,6.7,10.4,18.4,37.4,53.8,64.6,82.8,94.8,100
3,Apurímac,0.7,1.6,3.3,6.7,16.3,26.7,36.5,47.6,59.1,67.4
4,Arequipa,13.8,17.4,25.7,42.4,75.3,95.1,108.9,125.3,131.4,137.5
5,Ayacucho,1.7,3.5,4.9,11,28,46.5,61.5,72.9,77.9,77.8
6,Cajamarca,2.5,3.8,5.6,10.9,23.7,36.6,47.2,60,70.8,75.8
8,Cusco,4.3,6.3,9.8,18,35.6,53.8,71.7,84.4,94.6,102.6
9,Huancavelica,0.2,0.5,1,2.5,6,10.5,15.2,20.7,23.8,28.7
10,Huánuco,1.3,2.6,4.7,9,18.2,30.9,42,53.5,60.2,65.8
11,Ica,7.2,11.8,20.7,34.9,64.1,85.5,101.2,120,127,129.6
12,Junín,3.9,5.8,10.3,18.8,38.9,60.2,78.4,95.7,106.1,111.2
13,La Libertad ,9.5,12.2,15.9,27.2,53.6,71.9,84.3,98,110.1,119.3
14,Lambayeque,7.2,10.1,15.1,26.8,54.8,76.6,87.5,101.4,111.5,111.6
15,Lima y Callao,23.3,31.7,40,57.4,90.3,115.5,128.3,143.3,156.6,159.2
16,Loreto,2.2,3.4,5.1,8.6,16.6,24.2,29.7,37,40.5,42.1
17,Madre de Dios,1.4,3.1,9,22,47.3,72.4,92.7,115.5,138.5,156.4
18,Moquegua,8,14.9,25.4,43.9,72.1,89.1,100,115,117.5,115.1
19,Pasco,1,2.3,4.3,11.3,28.1,43.2,55,64.6,65,67.3
20,Piura,4.9,7.3,10.9,18.5,36.5,50.9,61.5,71.8,82.6,85.2
21,Puno ,2.9,4.5,7.4,15.6,36.9,54.6,68.4,85.6,94.9,105.3
22,San Martín,0.9,1.8,3.9,8.8,21.9,39.2,52,67.6,79.9,78.3
23,Tacna,16.6,19.9,32.2,49.5,84,103.1,119.8,141.1,140.3,138.3
24,Tumbes ,4.8,10.4,19.7,32.9,56.7,74.3,88.5,104.8,117.8,115.2
25,Ucayali,2.5,5,9.4,17.2,33.4,48.7,62.4,76.4,83.2,88.2
