Departamento,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
AMAZONAS,346,346,354,355,479,478,579,685,665,669,663
ANCASH,511,510,540,525,678,682,682,794,800,801,800
APURIMAC,288,288,299,299,504,507,506,604,628,627,627
AREQUIPA,230,230,242,240,266,271,280,349,338,338,337
AYACUCHO,358,358,366,366,608,611,607,721,954,946,945
CAJAMARCA,849,849,895,898,1159,1157,1106,1286,1277,1277,1276
CUSCO,558,558,581,578,1048,1046,1016,1152,1226,1222,1217
HUANCAVELICA,305,305,327,325,539,541,555,630,676,674,673
HUANUCO,412,412,419,421,683,683,752,800,799,809,798
ICA,90,90,97,91,134,136,131,160,238,300,238
JUNIN,368,368,383,393,563,566,570,662,789,951,787
LA LIBERTAD,362,367,395,398,619,617,619,738,735,893,732
LAMBAYEQUE,156,156,187,177,235,233,235,294,290,412,285
LIMA,271,270,286,284,307,308,288,358,341,441,338
LORETO,277,277,279,277,404,402,745,771,772,867,795
MADRE DE DIOS,47,47,47,48,50,50,64,72,67,85,66
MOQUEGUA,86,86,87,87,100,100,101,117,110,137,110
PASCO,157,158,159,159,218,219,228,262,246,298,245
PIURA,465,467,498,490,682,685,622,747,1276,1479,1273
PUNO,544,543,561,568,747,764,716,877,821,1039,818
SAN MARTIN,290,290,294,293,323,325,501,597,590,702,587
TACNA,64,64,65,61,68,67,67,74,75,105,73
TUMBES,49,50,50,50,58,59,60,79,68,87,68
UCAYALI,102,102,102,102,153,153,208,225,224,243,222
